path,title,last_modified,has_purpose,broken_internal_links
knowledge/docs/_index.md,Docs Hub,2025-11-15,no,0
knowledge/docs/audit/_index.md,Audit Hub,2025-11-15,no,0
knowledge/docs/audit/content-audit.md,Content Audit,2025-11-15,no,0
knowledge/docs/audit/persona-experience-review.md,Persona Experience Review,2025-11-15,no,0
knowledge/docs/continuous-integration/index.md,CI overview,2025-11-15,no,0
knowledge/docs/diagrams/_index.md,Diagrams Hub,2025-11-15,no,0
knowledge/docs/diagrams/wise-tech-approach-ascii.md,Wise Tech Approach ASCII,2025-11-15,no,0
knowledge/docs/en/README.md,The Wise Tech · English bridge,2025-11-15,no,0
knowledge/docs/en/docs/navigation-bridge.md,Navigation bridge,2025-11-15,no,0
knowledge/docs/en/symbiotic-process-diagram.md,Symbiotic process diagram (English),2025-11-15,no,0
knowledge/docs/en/wise-tech-approach-visual-representation.md,Wise Tech approach · visual representation,2025-11-15,no,0
knowledge/docs/en/wise-tech-approach.md,Wise Tech approach (English),2025-11-15,no,0
knowledge/docs/es/README.md,The Wise Tech · Puente en español,2025-11-15,no,0
knowledge/docs/es/docs/navigation-bridge.md,Puente de navegación,2025-11-15,no,0
knowledge/docs/es/symbiotic-process-diagram.md,Diagrama de proceso simbiótico (Español),2025-11-15,no,0
knowledge/docs/es/wise-tech-approach-visual-representation.md,Enfoque Wise Tech · representación visual,2025-11-15,no,0
knowledge/docs/es/wise-tech-approach.md,Enfoque Wise Tech (Español),2025-11-15,no,0
knowledge/docs/guides/_index.md,Guides — Index,2025-11-15,no,0
knowledge/docs/guides/content-style-guide.md,Content-Style-Guide — Wise Tech,2025-11-15,no,0
knowledge/docs/guides/contribution-guide.md,Contribution Guide,2025-11-15,no,0
knowledge/docs/guides/contribution-mentoring.md,Mentoring de contribuciones — Prácticas,2025-11-15,no,0
knowledge/docs/guides/dev-environment.md,Dev environment — rápido,2025-11-15,no,0
knowledge/docs/guides/dev-stack-local.md,Dev stack local — rápido,2025-11-15,no,0
knowledge/docs/guides/editorial-workflow.md,Editorial-Workflow — Propuesta→Draft→Review→Publish,2025-11-15,no,0
knowledge/docs/guides/feedback-loops.md,Feedback Loops — Cómo institucionalizar el aprendizaje,2025-11-15,no,0
knowledge/docs/guides/postmortem-guide.md,Postmortems — Guía práctica,2025-11-15,no,0
knowledge/docs/guides/quickstart.md,Quickstart,2025-11-15,no,0
knowledge/docs/guides/resilience-policies.md,Resilience Policies — Cómo usarlas,2025-11-15,no,0
knowledge/docs/guides/security-minima.md,Seguridad mínima — Contributors,2025-11-15,no,0
knowledge/docs/guides/slo-how-to.md,SLOs & Error Budget — Cómo usarlos,2025-11-15,no,0
knowledge/docs/guides/style-guide.md,Style Guide,2025-11-15,no,0
